Id;Label;value;Degree;closnesscentrality;betweenesscentrality;clustering
67;Rogue Nation;l;6;0.319018;157.551558;0.266667
68;Soft Power;l;4;0.325;9.708453;0.5
69;Colossus;n;5;0.313253;56.344888;0.6
70;The Sorrows of Empire;l;7;0.328076;19.69001;0.428571
71;Against All Enemies;l;15;0.375451;209.927484;0.257143
72;American Dynasty;l;22;0.393939;487.043711;0.255411
73;Big Lies;l;21;0.350168;231.368095;0.314286
74;The Lies of George W. Bush;l;16;0.340984;81.89632;0.425
75;Worse Than Watergate;l;16;0.367491;82.218452;0.458333
76;Plan of Attack;n;13;0.396947;430.097556;0.410256
77;Bush at War;c;7;0.380952;218.879287;0.428571
78;The New Pearl Harbor;l;5;0.307692;0.534635;0.8
79;Bushwomen;l;8;0.328076;9.573158;0.607143
80;The Bubble of American Supremacy;l;4;0.32;0.670862;0.5
81;Living History;l;4;0.298851;3.971671;0.5
82;The Politics of Truth;l;9;0.340984;3.875514;0.777778
83;Fanatics and Fools;l;8;0.33657;21.149445;0.535714
84;Bushwhacked;l;23;0.363636;310.109723;0.300395
85;Disarming Iraq;l;5;0.356164;42.081985;0.3
86;Lies and the Lying Liars Who Tell Them;l;14;0.352542;185.29875;0.351648
87;MoveOn's 50 Ways to Love Your Country;l;5;0.300578;5.314085;0.5
88;The Buying of the President 2004;l;5;0.308605;0.2;0.9
89;Perfectly Legal;l;6;0.311377;0.816667;0.866667
90;Hegemony or Survival;l;5;0.306785;5.545511;0.5
91;The Exception to the Rulers;l;8;0.310448;21.215263;0.428571
92;Freethinkers;l;3;0.300578;0;1
93;Had Enough?;l;7;0.346667;81.378712;0.52381
94;It's Still the Economy, Stupid!;l;7;0.316109;68.705408;0.380952
95;We're Right They're Wrong;l;4;0.306785;38.065726;0.333333
96;What Liberal Media?;l;6;0.299712;3.961807;0.733333
97;The Clinton Wars;l;6;0.287293;3.347388;0.733333
98;Weapons of Mass Deception;l;5;0.268041;1.943389;0.5
99;Dude, Where's My Country?;l;12;0.330159;212.637799;0.393939
100;Thieves in High Places;l;12;0.294618;38.128191;0.333333
101;Shrub;l;5;0.285714;5.049037;0.5
102;Buck Up Suck Up;l;4;0.329114;219.569294;0.333333
103;The Future of Freedom;n;2;0.24356;0;1
104;Empire;n;3;0.267352;8.096617;0.333333
